machine_id,factory,production_line,model,install_date,criticality,maintenance_interval_days
M001,Stuttgart,Line_A,MX-100,2018-08-12,Medium,90
M002,Feuerbach,Line_C,MX-200,2020-12-18,Medium,90
M003,Schwieberdingen,Line_E,RX-50,2019-05-19,High,30
M004,Stuttgart,Line_B,RX-80,2023-01-14,High,90
M005,Feuerbach,Line_D,MX-100,2021-07-07,Medium,30
M006,Schwieberdingen,Line_F,MX-200,2021-06-04,High,45
M007,Stuttgart,Line_A,RX-50,2023-05-08,High,60
M008,Feuerbach,Line_C,RX-80,2021-09-25,Low,45
M009,Schwieberdingen,Line_E,MX-100,2018-08-19,Low,60
M010,Stuttgart,Line_B,MX-200,2023-11-16,Medium,90
M011,Feuerbach,Line_D,RX-50,2019-02-18,Medium,90
M012,Schwieberdingen,Line_F,RX-80,2018-06-19,High,90
M013,Stuttgart,Line_A,MX-100,2022-08-22,Low,90
M014,Feuerbach,Line_C,MX-200,2020-06-28,Low,45
M015,Schwieberdingen,Line_E,RX-50,2021-09-28,Medium,30
M016,Stuttgart,Line_B,RX-80,2024-04-25,High,60
M017,Feuerbach,Line_D,MX-100,2020-10-24,Medium,45
M018,Schwieberdingen,Line_F,MX-200,2018-07-10,Low,45
M019,Stuttgart,Line_A,RX-50,2021-03-03,Medium,30
M020,Feuerbach,Line_C,RX-80,2020-04-05,Medium,30
M021,Schwieberdingen,Line_E,MX-100,2024-06-08,High,45
M022,Stuttgart,Line_B,MX-200,2022-04-24,Medium,60
M023,Feuerbach,Line_D,RX-50,2023-04-04,High,90
M024,Schwieberdingen,Line_F,RX-80,2023-10-06,Medium,45
